first_name,male,female
AARON,0.9917355371900827,0.008264462809917357
ABBEY,0.0,1.0
ABBIE,0.0,1.0
ABBY,0.0,1.0
ABDUL,1.0,0.0
ABE,1.0,0.0
ABEL,1.0,0.0
ABIGAIL,0.0,1.0
ABRAHAM,1.0,0.0
ABRAM,1.0,0.0
ADA,0.0,1.0
ADAH,0.0,1.0
ADALBERTO,1.0,0.0
ADALINE,0.0,1.0
ADAM,0.9961538461538462,0.003846153846153846
ADAN,1.0,0.0
ADDIE,0.0,1.0
ADELA,0.0,1.0
ADELAIDA,0.0,1.0
ADELAIDE,0.0,1.0
ADELE,0.0,1.0
ADELIA,0.0,1.0
ADELINA,0.0,1.0
ADELINE,0.0,1.0
ADELL,0.0,1.0
ADELLA,0.0,1.0
ADELLE,0.0,1.0
ADENA,0.0,1.0
ADINA,0.0,1.0
ADOLFO,1.0,0.0
ADOLPH,1.0,0.0
ADRIA,0.0,1.0
ADRIAN,0.8846153846153846,0.11538461538461538
ADRIANA,0.0,1.0
ADRIANE,0.0,1.0
ADRIANNA,0.0,1.0
ADRIANNE,0.0,1.0
ADRIEN,0.0,1.0
ADRIENE,0.0,1.0
ADRIENNE,0.0,1.0
AFTON,0.0,1.0
AGATHA,0.0,1.0
AGNES,0.0,1.0
AGNUS,0.0,1.0
AGRIPINA,0.0,1.0
AGUEDA,0.0,1.0
AGUSTIN,1.0,0.0
AGUSTINA,0.0,1.0
AHMAD,1.0,0.0
AHMED,1.0,0.0
AI,0.0,1.0
AIDA,0.0,1.0
AIDE,0.0,1.0
AIKO,0.0,1.0
AILEEN,0.0,1.0
AILENE,0.0,1.0
AIMEE,0.0,1.0
AISHA,0.0,1.0
AJA,0.0,1.0
AKIKO,0.0,1.0
AKILAH,0.0,1.0
AL,1.0,0.0
ALAINA,0.0,1.0
ALAINE,0.0,1.0
ALAN,1.0,0.0
ALANA,0.0,1.0
ALANE,0.0,1.0
ALANNA,0.0,1.0
ALAYNA,0.0,1.0
ALBA,0.0,1.0
ALBERT,0.9968253968253968,0.003174603174603175
ALBERTA,0.0,1.0
ALBERTHA,0.0,1.0
ALBERTINA,0.0,1.0
ALBERTINE,0.0,1.0
ALBERTO,1.0,0.0
ALBINA,0.0,1.0
ALDA,0.0,1.0
ALDEN,1.0,0.0
ALDO,1.0,0.0
ALEASE,0.0,1.0
ALEC,1.0,0.0
ALECIA,0.0,1.0
ALEEN,0.0,1.0
ALEIDA,0.0,1.0
ALEISHA,0.0,1.0
ALEJANDRA,0.0,1.0
ALEJANDRINA,0.0,1.0
ALEJANDRO,1.0,0.0
ALENA,0.0,1.0
ALENE,0.0,1.0
ALESHA,0.0,1.0
ALESHIA,0.0,1.0
ALESIA,0.0,1.0
ALESSANDRA,0.0,1.0
ALETA,0.0,1.0
ALETHA,0.0,1.0
