first_name,white,black,api,hispanic,native,multiple
AARON,0.9160700000000002,0.032639999999999995,0.020569999999999998,0.0288,0.00055,0.00137
ABBAS,0.71186,0.0339,0.25424,0.0,0.0,0.0
ABBEY,0.96491,0.035089999999999996,0.0,0.0,0.0,0.0
ABBIE,0.95946,0.027030000000000002,0.0,0.01351,0.0,0.0
ABBY,0.9465600000000001,0.015269999999999999,0.0229,0.015269999999999999,0.0,0.0
ABDUL,0.44343999999999995,0.06787000000000001,0.47511000000000003,0.00452,0.00452,0.00452
ABDULLAH,0.65909,0.09091,0.22726999999999997,0.02273,0.0,0.0
ABE,0.7741899999999999,0.12902999999999998,0.032260000000000004,0.06452000000000001,0.0,0.0
ABEL,0.12844,0.02141,0.024459999999999996,0.82569,0.0,0.0
ABELARDO,0.09211,0.0,0.11842000000000001,0.78947,0.0,0.0
ABHIJIT,0.17647000000000002,0.0,0.82353,0.0,0.0,0.0
ABHISHEK,0.0,0.0,1.0,0.0,0.0,0.0
ABIGAIL,0.8157899999999999,0.01435,0.047850000000000004,0.12201,0.0,0.0
ABNER,0.34146,0.12195,0.14634,0.39024000000000003,0.0,0.0
ABRAHAM,0.47700000000000004,0.07748,0.12349,0.30750999999999995,0.014530000000000001,0.0
ABRAM,0.81395,0.06977,0.02326,0.09301999999999999,0.0,0.0
ADA,0.53266,0.07035,0.08542999999999999,0.30653,0.00503,0.0
ADALBERTO,0.05797000000000001,0.0,0.0,0.9420299999999999,0.0,0.0
ADAM,0.96148,0.00635,0.01016,0.01989,0.0008500000000000001,0.00127
ADAN,0.05479,0.020550000000000002,0.00685,0.91781,0.0,0.0
ADDIE,0.6734699999999999,0.26531,0.020409999999999998,0.020409999999999998,0.020409999999999998,0.0
ADEL,0.71429,0.05195,0.14286,0.09091,0.0,0.0
ADELA,0.28689,0.0,0.08197000000000002,0.63115,0.0,0.0
ADELAIDA,0.13635999999999998,0.0,0.34091,0.52273,0.0,0.0
ADELAIDE,0.7561,0.12195,0.0,0.12195,0.0,0.0
ADELE,0.9378200000000001,0.025910000000000002,0.025910000000000002,0.005180000000000001,0.0,0.005180000000000001
ADELINA,0.25805999999999996,0.016130000000000002,0.08065,0.62903,0.016130000000000002,0.0
ADELINE,0.65152,0.07576000000000001,0.15152000000000002,0.10606,0.0,0.015149999999999999
ADINA,0.8909100000000001,0.05455,0.01818,0.03636,0.0,0.0
ADMIR,1.0,0.0,0.0,0.0,0.0,0.0
ADNAN,0.66667,0.015149999999999999,0.30303,0.0,0.015149999999999999,0.0
ADOLFO,0.10056000000000001,0.0055899999999999995,0.02235,0.8715100000000001,0.0,0.0
ADOLPH,0.7272700000000001,0.15909,0.0,0.11364,0.0,0.0
ADRIA,0.9,0.0,0.0,0.1,0.0,0.0
ADRIAN,0.49248999999999993,0.11098,0.02659,0.36301,0.0034700000000000004,0.0034700000000000004
ADRIANA,0.35991999999999996,0.00818,0.00613,0.62372,0.0020399999999999997,0.0
ADRIANE,0.75862,0.15517,0.01724,0.06897,0.0,0.0
ADRIANNA,0.5,0.03333,0.03333,0.43333,0.0,0.0
ADRIANNE,0.8947399999999999,0.06316,0.01053,0.03158,0.0,0.0
ADRIENNE,0.8338500000000001,0.12733,0.015530000000000002,0.02019,0.00155,0.00155
AFSHIN,0.8378399999999999,0.0,0.13514,0.0,0.0,0.027030000000000002
AGATA,0.97917,0.0,0.0,0.02083,0.0,0.0
AGATHA,0.61111,0.16667,0.16667,0.02778,0.02778,0.0
AGNES,0.6789799999999999,0.10795,0.17614000000000002,0.03125,0.005679999999999999,0.0
AGNIESZKA,0.96154,0.00962,0.00962,0.01923,0.0,0.0
AGUSTIN,0.05857999999999999,0.00418,0.03766,0.8995799999999999,0.0,0.0
AHMAD,0.67485,0.03681,0.2638,0.00613,0.012270000000000001,0.00613
AHMED,0.65341,0.08523,0.22726999999999997,0.011359999999999999,0.0,0.02273
AHMET,0.90625,0.0,0.03125,0.0625,0.0,0.0
AI,0.09677,0.0,0.8709700000000001,0.032260000000000004,0.0,0.0
AIDA,0.3785,0.00935,0.15420999999999999,0.45793999999999996,0.0,0.0
AILEEN,0.6559100000000001,0.021509999999999998,0.22580999999999998,0.09140000000000001,0.0,0.005379999999999999
AIMEE,0.9345299999999999,0.0032700000000000003,0.0311,0.02782,0.0016399999999999997,0.0016399999999999997
AISHA,0.25,0.59722,0.09722000000000001,0.05556,0.0,0.0
AJAY,0.25325,0.00649,0.7077899999999999,0.00649,0.01948,0.00649
AJIT,0.20588,0.0,0.77941,0.014709999999999999,0.0,0.0
AKBAR,0.48387,0.0,0.51613,0.0,0.0,0.0
AKIKO,0.27273000000000003,0.030299999999999997,0.66667,0.030299999999999997,0.0,0.0
AL,0.73913,0.10869999999999999,0.08696,0.054349999999999996,0.01087,0.0
ALAIN,0.66667,0.10525999999999999,0.07894999999999999,0.14035,0.0,0.00877
ALAINA,0.94545,0.01818,0.01818,0.01818,0.0,0.0
ALAN,0.92471,0.01064,0.04797,0.015019999999999999,0.0010400000000000001,0.00063
ALANA,0.8496700000000001,0.08497,0.01307,0.05229,0.0,0.0
ALANE,1.0,0.0,0.0,0.0,0.0,0.0
ALANNA,0.96226,0.0,0.018869999999999998,0.0,0.018869999999999998,0.0
ALASTAIR,1.0,0.0,0.0,0.0,0.0,0.0
ALBA,0.16814,0.0,0.00885,0.82301,0.0,0.0
ALBERT,0.75093,0.07464,0.07546,0.09526,0.00206,0.00165
ALBERTA,0.62879,0.27273000000000003,0.02273,0.07576000000000001,0.0,0.0
ALBERTO,0.11128,0.00445,0.06825,0.81306,0.00297,0.0
ALDEN,0.78947,0.026319999999999996,0.10525999999999999,0.07894999999999999,0.0,0.0
ALDO,0.37719,0.0,0.035089999999999996,0.58772,0.0,0.0
ALEC,0.8990799999999999,0.018349999999999998,0.08256999999999999,0.0,0.0,0.0
ALECIA,0.78652,0.16854,0.0,0.02247,0.02247,0.0
ALEJANDRA,0.08743000000000001,0.0,0.03279,0.8797799999999999,0.0,0.0
ALEJANDRO,0.06942999999999999,0.00122,0.02801,0.90134,0.0,0.0
ALEKSANDAR,1.0,0.0,0.0,0.0,0.0,0.0
ALEKSANDER,0.9697,0.0,0.0,0.0,0.0,0.030299999999999997
ALEKSANDR,0.9837799999999999,0.0,0.01081,0.005410000000000001,0.0,0.0
ALEKSANDRA,1.0,0.0,0.0,0.0,0.0,0.0
ALEKSEY,0.96226,0.0,0.037739999999999996,0.0,0.0,0.0
ALEN,0.90323,0.0,0.06452000000000001,0.032260000000000004,0.0,0.0
ALENA,0.8620700000000001,0.08621000000000001,0.03448,0.01724,0.0,0.0
ALENE,0.8709700000000001,0.06452000000000001,0.032260000000000004,0.0,0.0,0.032260000000000004
ALESHA,0.8055599999999999,0.16667,0.0,0.02778,0.0,0.0
ALESIA,0.61224,0.32653,0.0,0.06122000000000001,0.0,0.0
ALESSANDRA,0.91176,0.0,0.0,0.08824,0.0,0.0
ALESSANDRO,0.8913,0.02174,0.04348,0.04348,0.0,0.0
ALETA,0.8979600000000001,0.08163000000000001,0.0,0.020409999999999998,0.0,0.0
ALEX,0.6440600000000001,0.03136,0.12983,0.18964000000000003,0.0021899999999999997,0.00292
ALEXA,0.9487200000000001,0.025639999999999996,0.0,0.025639999999999996,0.0,0.0
ALEXANDER,0.8153100000000001,0.02759,0.06631000000000001,0.08678,0.00134,0.00267
ALEXANDR,1.0,0.0,0.0,0.0,0.0,0.0
ALEXANDRA,0.85516,0.011899999999999999,0.01984,0.10714,0.00198,0.0039700000000000004
ALEXANDRE,0.8375,0.025,0.0375,0.1,0.0,0.0
ALEXANDRIA,0.8478299999999999,0.02174,0.04348,0.07609,0.01087,0.0
ALEXANDRU,0.9354799999999999,0.0,0.0,0.06452000000000001,0.0,0.0
ALEXEI,1.0,0.0,0.0,0.0,0.0,0.0
ALEXEY,1.0,0.0,0.0,0.0,0.0,0.0
ALEXIA,0.8684200000000001,0.10525999999999999,0.026319999999999996,0.0,0.0,0.0
ALEXIS,0.77655,0.05088,0.028760000000000004,0.14159,0.0,0.00221
ALF,1.0,0.0,0.0,0.0,0.0,0.0
ALFONSO,0.13071,0.03942,0.04564,0.7821600000000001,0.0,0.00207
ALFRED,0.7582899999999999,0.09054000000000001,0.04689,0.10186,0.0008100000000000001,0.0016200000000000001
ALFREDA,0.22857,0.71429,0.028569999999999998,0.028569999999999998,0.0,0.0
ALFREDO,0.10770999999999999,0.00728,0.0786,0.8064,0.0,0.0
ALI,0.72763,0.042800000000000005,0.19454999999999997,0.019459999999999998,0.009729999999999999,0.00584
ALIA,0.73333,0.03333,0.16667,0.06667000000000001,0.0,0.0
ALICE,0.80135,0.06292,0.08163999999999999,0.04888,0.0020800000000000003,0.00312
ALICIA,0.66667,0.059340000000000004,0.02734,0.24375,0.00116,0.0017499999999999998
ALICJA,1.0,0.0,0.0,0.0,0.0,0.0
ALIDA,0.73529,0.029410000000000002,0.0,0.23529,0.0,0.0
ALINA,0.72993,0.0219,0.0365,0.21168000000000003,0.0,0.0
ALINE,0.81034,0.10345,0.06897,0.01724,0.0,0.0
ALIREZA,0.9315100000000001,0.0,0.05479,0.0137,0.0,0.0
ALISA,0.8668600000000001,0.07396,0.03846,0.020709999999999996,0.0,0.0
ALISHA,0.84977,0.10329,0.00469,0.03286,0.00469,0.00469
ALISON,0.96294,0.012830000000000001,0.01568,0.00784,0.0,0.0007099999999999999
ALISSA,0.95536,0.01786,0.00893,0.013389999999999999,0.00446,0.0
ALISTAIR,1.0,0.0,0.0,0.0,0.0,0.0
ALIX,0.75676,0.13514,0.027030000000000002,0.05405,0.0,0.027030000000000002
ALIZA,0.81818,0.09091,0.0,0.06061,0.030299999999999997,0.0
ALKA,0.16667,0.0,0.8055599999999999,0.0,0.02778,0.0
ALLA,0.99206,0.0,0.0,0.007940000000000001,0.0,0.0
ALLAN,0.8823000000000001,0.018869999999999998,0.07457000000000001,0.020659999999999998,0.0009,0.0027
ALLEN,0.88755,0.04498,0.05178,0.01046,0.0005200000000000001,0.004710000000000001
ALLENE,0.7096800000000001,0.22580999999999998,0.06452000000000001,0.0,0.0,0.0
ALLISON,0.9537799999999999,0.01917,0.01917,0.0062,0.0,0.0016899999999999999
ALLYN,0.91228,0.035089999999999996,0.0,0.052629999999999996,0.0,0.0
ALLYSON,0.9607799999999999,0.03137,0.00784,0.0,0.0,0.0
ALMA,0.31588,0.07201,0.05074,0.56137,0.0,0.0
ALOK,0.22221999999999997,0.02778,0.72222,0.0,0.02778,0.0
ALON,0.90909,0.030299999999999997,0.06061,0.0,0.0,0.0
ALONSO,0.13724999999999998,0.01961,0.01961,0.82353,0.0,0.0
ALONZO,0.34568000000000004,0.44443999999999995,0.02469,0.18519000000000002,0.0,0.0
ALPHONSE,0.8367299999999999,0.14286,0.0,0.020409999999999998,0.0,0.0
ALPHONSO,0.14286,0.76786,0.01786,0.07143,0.0,0.0
ALTA,0.9148899999999999,0.06383,0.02128,0.0,0.0,0.0
ALTAGRACIA,0.06977,0.0,0.02326,0.9069799999999999,0.0,0.0
ALTHEA,0.41558,0.5064899999999999,0.05195,0.02597,0.0,0.0
