name
"ABERCROMBIE, Neil"
"ABRAHAM, Ralph"
"ACEVEDO-VIL&#193;, An&#237;bal"
"ACKERMAN, Gary Leonard"
"ADAMS, Alma"
"ADAMS, Sandra (Sandy)"
"ADERHOLT, Robert"
"ADLER, John H."
"AGUILAR, Peter Rey"
"AKIN, W. Todd"
"ALEXANDER, Rodney"
"ALLEN, Rick W."
"ALLEN, Thomas H."
"ALLRED, Colin"
"ALTMIRE, Jason"
"AMASH, Justin"
"AMODEI, Mark E."
"ANDREWS, Robert Ernest"
"ARCHER, William Reynolds, Jr."
"ARCURI, Michael"
"ARMEY, Richard Keith"
"ARMSTRONG, Kelly"
"ARRINGTON, Jodey Cook"
"ASHFORD, John Bradley"
"AUCHINCLOSS, Jake"
"AUSTRIA, Steve"
"AXNE, Cynthia"
"BABIN, Brian"
"BACA, Joe"
"BACHMANN, Michele"
"BACHUS, Spencer T., III"
"BACON, Donald J."
"BAIRD, Brian"
"BAIRD, James"
"BAKER, Richard Hugh"
"BALDACCI, John Elias"
"BALDERSON, Troy"
"BALDWIN, Tammy"
"BALLANCE, Frank W., Jr."
"BALLENGER, Cass"
"BANKS, James E."
"BARBER, Ron"
"BARCIA, James A."
"BARLETTA, Lou"
"BARR, Bob"
"BARR, Garland H. (Andy), IV"
"BARRAG&#193;N, Nanette"
"BARRETT, James Gresham"
"BARRETT, Thomas M."
"BARRETT, William E."
"BARROW, John"
"BARTLETT, Roscoe Gardner"
"BARTON, Joe Linus"
"BASS, Charles Foster"
"BASS, Karen"
"BATEMAN, Herbert Harvell"
"BEAN, Melissa L."
"BEATTY, Joyce"
"BEAUPREZ, Bob"
"BECERRA, Xavier"
"BELL, Chris"
"BENISHEK, Dan"
"BENTIVOLIO, Kerry"
"BENTSEN, Kenneth E., Jr."
"BENTZ, Cliff"
"BERA, Ami"
"BEREUTER, Douglas Kent"
"BERG, Rick"
"BERGMAN, John"
"BERKLEY, Shelley"
"BERMAN, Howard Lawrence"
"BERRY, Robert Marion"
"BEYER, Donald Sternoff, Jr."
"BICE, Stephanie I."
"BIGGERT, Judy Borg"
"BIGGS, Andrew S."
"BILBRAY, Brian P."
"BILIRAKIS, Gus"
"BILIRAKIS, Michael"
"BISHOP, Dan"
"BISHOP, Michael Dean"
"BISHOP, Robert (Rob)"
"BISHOP, Sanford Dixon, Jr."
"BISHOP, Timothy H."
"BLACK, Diane"
"BLACKBURN, Marsha"
"BLAGOJEVICH, Rod R."
"BLILEY, Thomas Jerome, Jr."
"BLUM, Rod"
"BLUMENAUER, Earl"
"BLUNT, Roy"
"BLUNT ROCHESTER, Lisa"
"BOCCIERI, John A."
