name
"AKAKA, Daniel Kahikina"
"AUSTRIA, Steve"
"BERA, Ami"
"CAO, Anh (Joseph)"
"CHU, Judy"
"CLARKE, Hansen"
"COX, TJ"
"DJOU, Charles"
"DUCKWORTH, Tammy"
"FALEOMAVAEGA, Eni F. H."
"GABBARD, Tulsi"
"HANABUSA, Colleen"
"HARRIS, Kamala Devi"
"HIRONO, Mazie"
"HONDA, Mike"
"INOUYE, Daniel Ken"
"JAYAPAL, Pramila"
"JINDAL, Bobby"
"KAHELE, Kaialiʻi"
"KHANNA, Ro"
"KIM, Andy"
"KIM, Young"
"KRISHNAMOORTHI, S. Raja"
"LIEU, Ted"
"MATSUI, Doris"
"MATSUI, Robert T."
"MENG, Grace"
"MINK, Patsy Takemoto"
"MURPHY, Stephanie"
"RADEWAGEN, Aumua Amata Coleman"
"SABLAN, Gregorio Kilili Camacho"
"SAN NICOLAS, Michael"
"SCOTT, Robert C."
"STEEL, Michelle"
"STRICKLAND, Marilyn"
"TAKAI, Mark"
"TAKANO, Mark"
"UNDERWOOD, Robert A."
"WU, David"
