name
"ADAMS, Alma"
"ALLRED, Colin"
"BALLANCE, Frank W., Jr."
"BASS, Karen"
"BEATTY, Joyce"
"BISHOP, Sanford Dixon, Jr."
"BLUNT ROCHESTER, Lisa"
"BOOKER, Cory Anthony"
"BOWMAN, Jamaal"
"BROWN, Anthony Gregory"
"BROWN, Corrine"
"BURRIS, Roland"
"BUSH, Cori"
"BUTTERFIELD, George Kenneth (G.K.), Jr."
"CARSON, Andr&#233;"
"CARSON, Julia May"
"CHRISTENSEN, Donna Marie"
"CLARKE, Hansen"
"CLARKE, Yvette Diane"
"CLAY, William Lacy, Jr."
"CLAY, William Lacy, Sr."
"CLAYTON, Eva M."
"CLEAVER, Emanuel, II"
"CLYBURN, James Enos"
"CONYERS, John, Jr."
"COWAN, William (Mo)"
"CUMMINGS, Elijah Eugene"
"DAVIS, Artur"
"DAVIS, Danny K."
"DELGADO, Antonio"
"DEMINGS, Valdez"
"DIXON, Julian Carey"
"DONALDS, Byron"
"EDWARDS, Donna F."
"ELLISON, Keith"
"EVANS, Dwight"
"FATTAH, Chaka"
"FORD, Harold, Jr."
"FUDGE, Marcia L."
"GREEN, Al"
"HALL, Kwanza"
"HARRIS, Kamala Devi"
"HASTINGS, Alcee Lamar"
"HAYES, Jahana"
"HILLIARD, Earl Frederick"
"HORSFORD, Steven"
"HURD, William Ballard"
"JACKSON, Jesse L., Jr."
"JACKSON LEE, Sheila"
"JEFFERSON, William Jennings"
"JEFFRIES, Hakeem"
"JOHNSON, Eddie Bernice"
"JOHNSON, Hank"
"JONES, Brenda"
"JONES, Mondaire"
"JONES, Stephanie Tubbs"
"KELLY, Robin L."
"KILPATRICK, Carolyn Cheeks"
"LAWRENCE, Brenda L."
"LAWSON, Alfred, Jr."
"LEE, Barbara"
"LEWIS, John R."
"LOVE, Ludmya Bourdeau (Mia)"
"MAJETTE, Denise L."
"MCBATH, Lucy"
"MCEACHIN, Aston Donald"
"MCKINNEY, Cynthia Ann"
"MEEK, Carrie P."
"MEEK, Kendrick B."
"MEEKS, Gregory W."
"MFUME, Kweisi"
"MILLENDER-MCDONALD, Juanita"
"MOORE, Gwendolynne S. (Gwen)"
"NEGUSE, Joseph"
"NORTON, Eleanor Holmes"
"OBAMA, Barack"
"OMAR, Ilhan"
"OWENS, Burgess"
"OWENS, Major Robert Odell"
"PAYNE, Donald Milford"
"PAYNE, Donald, Jr."
"PLASKETT, Stacey E."
"PRESSLEY, Ayanna"
"RANGEL, Charles B."
"RICHARDSON, Laura"
"RICHMOND, Cedric"
"RUSH, Bobby L."
"SCOTT, David"
"SCOTT, Robert C."
"SCOTT, Tim"
"SEWELL, Terri"
"STRICKLAND, Marilyn"
"THOMPSON, Bennie"
"TORRES, Ritchie"
"TOWNS, Edolphus"
"UNDERWOOD, Lauren"
"VEASEY, Marc"
"WATERS, Maxine"
"WATSON, Diane Edith"
"WATSON COLEMAN, Bonnie"
"WATT, Melvin L."
"WATTS, Julius Caesar, Jr. (J. C.)"
"WEST, Allen"
"WILLIAMS, Nikema"
"WILSON, Frederica"
"WYNN, Albert Russell"
