name
"ACEVEDO-VIL&#193;, An&#237;bal"
"AGUILAR, Peter Rey"
"BACA, Joe"
"BARRAG&#193;N, Nanette"
"BECERRA, Xavier"
"BONILLA, Henry"
"CANSECO, Francisco Raul (Quico)"
"CARBAJAL, Salud"
"C&#193;RDENAS, Tony"
"CARDOZA, Dennis A."
"CASTRO, Joaquin"
"CISNEROS, Gil"
"CORREA, Jose Luis"
"CORTEZ MASTO, Catherine Marie"
"COSTA, Jim"
"CRUZ, Rafael Edward (Ted)"
"CUELLAR, Henry"
"CURBELO, Carlos"
"DELGADO, Antonio"
"DIAZ-BALART, Lincoln"
"DIAZ-BALART, Mario"
"ESCOBAR, Veronica"
"ESPAILLAT, Adriano J."
"FLORES, Bill"
"FORTU&#209;O, Luis G."
"GALLEGO, Pete P."
"GALLEGO, Ruben"
"GARCIA, Joe"
"GARCIA, Sylvia"
"GARC&#205;A, Jes&#250;s"
"GIMENEZ, Carlos A."
"GOMEZ, Jimmy"
"GONZALES, Tony"
"GONZALEZ, Anthony"
"GONZALEZ, Charles A."
"GONZALEZ, Vicente, Jr."
"GONZ&#193;LEZ-C&#211;LON, Jenniffer"
"GRIJALVA, Ra&#250;l M."
"GUTI&#201;RREZ, Luis V."
"HERRERA BEUTLER, Jaime"
"HINOJOSA, Rub&#233;n"
"KIHUEN, Ruben J."
"LABRADOR, Ra&#250;l R."
"LEGER FERNANDEZ, Teresa"
"LUJ&#193;N, Ben Ray"
"LUJAN GRISHAM, Michelle"
"MALLIOTAKIS, Nicole"
"MARTINEZ, Melquiades R. (Mel)"
"MART&#205;NEZ, Matthew G."
"MENENDEZ, Robert"
"MOONEY, Alex X."
"MUCARSEL-POWELL, Debbie"
"NAPOLITANO, Grace Flores"
"NEGRETE MCLEOD, Gloria"
"NUNES, Devin"
"OCASIO-CORTEZ, Alexandria"
"ORTIZ, Solomon P."
"PASTOR, Ed"
"PIERLUISI, Pedro"
"REYES, Silvestre"
"RIVERA, David"
"RODRIGUEZ, Ciro D."
"ROMERO-BARCEL&#211;, Carlos A."
"ROS-LEHTINEN, Ileana"
"ROYBAL-ALLARD, Lucille"
"RUBIO, Marco"
"RUIZ, Raul"
"SABLAN, Gregorio Kilili Camacho"
"SALAZAR, John"
"SALAZAR, Kenneth Lee"
"SAN NICOLAS, Michael"
"SANCHEZ, Loretta"
"S&#193;NCHEZ, Linda T."
"SERRANO, Jos&#233; E."
"SIRES, Albio"
"SOLIS, Hilda L."
"SOTO, Darren Michael"
"TORRES, Norma Judith"
"TORRES, Ritchie"
"TORRES SMALL, Xochitl"
"TRAHAN, Lori"
"UNDERWOOD, Robert A."
"VALADAO, David G."
"VARGAS, Juan"
"VELA, Filemon"
"VEL&#193;ZQUEZ, Nydia M."
