name
"ADAMS, Alma"
"ADAMS, Sandra (Sandy)"
"AXNE, Cynthia"
"AYOTTE, Kelly"
"BACHMANN, Michele"
"BALDWIN, Tammy"
"BARRAG&#193;N, Nanette"
"BASS, Karen"
"BEAN, Melissa L."
"BEATTY, Joyce"
"BERKLEY, Shelley"
"BICE, Stephanie I."
"BIGGERT, Judy Borg"
"BLACK, Diane"
"BLACKBURN, Marsha"
"BLUNT ROCHESTER, Lisa"
"BOEBERT, Lauren"
"BONAMICI, Suzanne"
"BONO, Mary"
"BORDALLO, Madeleine"
"BOURDEAUX, Carolyn"
"BOXER, Barbara"
"BOYDA, Nancy"
"BROOKS, Susan"
"BROWN, Corrine"
"BROWNLEY, Julia"
"BROWN-WAITE, Virginia (Ginny)"
"BUERKLE, Ann Marie"
"BUSH, Cori"
"BUSTOS, Cheri"
"CAMMACK, Kat"
"CANTWELL, Maria E."
"CAPITO, Shelley Moore"
"CAPPS, Lois"
"CARNAHAN, Jean"
"CARSON, Julia May"
"CASTOR, Kathy"
"CHENEY, Liz"
"CHENOWETH-HAGE, Helen P."
"CHRISTENSEN, Donna Marie"
"CHU, Judy"
"CLARK, Katherine M."
"CLARKE, Yvette Diane"
"CLAYTON, Eva M."
"CLINTON, Hillary Rodham"
"COLLINS, Susan Margaret"
"COMSTOCK, Barbara J."
"CORTEZ MASTO, Catherine Marie"
"CRAIG, Angela"
"CUBIN, Barbara L."
"DAHLKEMPER, Kathleen A. (Kathy)"
"DANNER, Patsy Ann (Pat)"
"DAVIDS, Sharice"
"DAVIS, Jo Ann"
"DAVIS, Susan A."
"DEAN, Madeleine"
"DEGETTE, Diana"
"DELAURO, Rosa L."
"DELBENE, Suzan K."
"DEMINGS, Valdez"
"DINGELL, Debbie"
"DOLE, Elizabeth Hanford"
"DRAKE, Thelma D."
"DUCKWORTH, Tammy"
"DUNN, Jennifer Blackburn"
"EDWARDS, Donna F."
"ELLMERS, Renee"
"EMERSON, Jo Ann"
"ERNST, Joni"
"ESCOBAR, Veronica"
"ESHOO, Anna Georges"
"ESTY, Elizabeth"
"FALLIN, Mary"
"FEINSTEIN, Dianne"
"FINKENAUER, Abby"
"FISCHBACH, Michelle"
"FISCHER, Debra (Deb)"
"FLETCHER, Elizabeth Pannill"
"FOWLER, Tillie Kidd"
"FOXX, Virginia Ann"
"FRANKEL, Lois"
"FUDGE, Marcia L."
